r*****3;4;Bagus kemejanya bahanya bagus. Adem jahitannya juga rapi banget. Packing nya juga rapi. Besok bakalan beli lagi deh. Ukurannya real juga. Bagus??
p*****d;4;Bahannya oke dengan harga segini, tapi di ukuran m cuttingannya agak aneh, seperti melebar di bagian ketiak, jafi harus di permak lagi
rizalgemini;4;Barang sudah di terimah dalam bagus. Walaupun ada banyak sisa jahitan yang kurang rapih.
bagwanid;4;Paketan M231 mendarat dengan selamat, barang sesui cuma agak kebesaran tapi tenang bukan kesalahan produk emg badannya yg kekurusan hihi tetep amanah admin selalu menjaga produk dan kepuasan konsumen pastinyaaaaaaaaaa....??????????????????????????????????????????????????????????????
halim_manshur97;4;Bahan bagus sesuai dengan harga yang di beli,, untuk ukuran agak terlalu besar dikit,, tapi masih cukup buat di pakai,, thanks seller
n*****d;4;"Mantaaaappp suka bnget terhadap bajunya, kualitas oke terjamin dah, untuk sementara sangat puas, karena pemakaian masih hari pertama, GK tau nnti klok udah beberapa bulan...
kalau sekiranya sesuai keinginan saya bakal langganan di sini deh ????"
hilmi_fahriyah;4;Alhamdulillah barang nya udah nyampe, ku kira ga ada saku nya terus bahan kameja nya bukan yang licin gitu warna hitam nya ga terlalu pekat
wildaniaffandi;4;Alhamdulillah paket dh sampai ????,, bahan oke cuman ternyata warnanya ngg hitam pekat ,, tp ttp bagus , thanks seller
bektisetyo98;4;Kemejanya standar, kainnya gak terlalu tebal dan gampang banget kusut. Pengiriman nggak secepat biasanya mungkin efek PPKM, dan dapat harga promo 17 Agustusan????
agusjokoprayetno;4;Kualitas terbaik. Keren. Ganteng lah pokonya. Hehe.terbaikkkk??
shintyawrdn;4;Bagusss????
cicilianowela;4;Terimakasih barang Uda nympe pengiriman cepat semoga lancar jaya usahanya ????????
bayukasasi99;4;Pengiriman sama pengemasan lumayan cepat tapi sangat disayangkan , saya 2x beli kenapa chat saya gk pernah di respon mohon ditingkatkan lagi fast respon nya????????
rzktny;4;Bahannya kaku, terus size S aja gede yah ternyata, dapet diharga 109rb kemarin pas promo thank u
f*****1;4;Pengiriman cepat,, kurir ramah dan sudah hafal dengan alamat saya.. barang juga sesuai..  terimakasih seller ??
brdfstore;4;Sorry gambar tidak sesuai, tapi insyallah rekomendasi lah
s*****4;4;Bahan nya lumayan Baguss, semoga cocok buat kadoo doi hehee
s*****8;4;Kemeja nya Merawang , kegedean juga jaitan rapi , untuk hrg segini bahan kurang sih menurut ku , cmn gpp kok mksh ya ?
s*****h;4;Kemeja nya lumayan bagus bahannya adem cuma sizenya agak kecil saran kalo yang mau beli mending naik size aja deh dari size yg biasa dipake
elmuntamah;4;Harganya pas flashsale 99 ribu kalau sama kualitasnya sebanding sih kalau harga 99 soalnya kainnya tipis kalau putih pasti nerawang tapi kainnya adem nggk panas.
hasbiyanatasya;4;Baru pertama kalinya order buat bahannya lumayan bagus buat kado aa semoga aa suka ??
ajengswariyanatarputri;4;"Bahan standar, warna sesuai, ukuran mantap, pengiriman cepet. 
Tolong perbanyak varian kemeja, bahan, warnanya juga ya min. 
Semoga bisa repeat order thanks"
ramamustaqim8;4;Barang lumayan lah,, cuman pengiriman agak lama dn bahan dari baju agak sedikit kasar
g*****7;4;Pengiriman agak lama, packing biasa aja cuma di kasih plastik. Tapi bahan nya oke sih
sandra_sansep;4;Sorry video gak sesuai. Bajunya langsung dibeli orang. Pembeli sukaaa..
a*****i;4;Alhamdulillah sampai, pesanan dari pelanggan yang sudah lama sekali saya akan memberikan hasil yang maksimal
r*****n;4;No bad laah agak kebesaran buat adk kuu hhe tp yaa baguss dehh rekomen
s*****7;4;Bahan bagus dan tebel , packaging cuman plastik aja pengemasan cepAt
w*****a;4;Produk Original Pengemasan Rapi Kualitas Sangat Baguss Sekaliii
f*****4;4;Bajunya bagus. Pas banget dipake. Tp sayang pengirimannya lama banget.
ulya_khair;4;"Paket sudah sampai
Sesuai gambar
Sangat bagus untuk dipakai sehari hari"
trifauziahfebi;4;overall bagus, cmn size nya huhu susah ditebak. kl buat kado masa hrs tanya dl sm yg mau dikasi wkwk. M nya gede bgt besties
adepbadru;4;Barang diterima dngn baikk kualitas okk mantap sesuai poto
r*****u;4;kualitas bagus sesuai deskripsi, bahan halus dan tidak trawang. harga juga bagus deh oke banget
l*****1;4;"Pesanan sesuai 
Harga lumayan 
Ukuran pas dan nyaman
Pemgiriman oke"
haiichan05_;4;"Lumayan bagus adem bahanya lembut juga ngga kaku bangett, worth it lah harga segitu 
Cuma bahannya katuun dan warna nya item deh jadi kaya ada debu debu yg menempel itu keliatan hehe 
Lainya baguss ko??"
anggita.anw03;4;Bahannya bagus. Warnanya juga pekat hitam. Tapi M ternyata besar. Kirain size standart. Ternyata besar. Tapi ????????????
b*****6;4;Barang bagus sesuai ,pengiriman cepat,kemasan cakep,harga sesuai mutu ,mudah2an jadi mitra yang baik.
